Informazioni cronologiche,Sesso,Quale è la tua fascia di età ,Vivi a Tricarico?,Hai figli?,Studi o lavori a Tricarico?,Hai (o hai mai avuto) intenzione di lasciare il paese nei prossimi anni?,Lavori o Studi da fuorisede?,Pensi che tornerai stabilmente a vivere a Tricarico?,"Quello che fai fuori*, potresti farlo a Tricarico?  
(*se lavori o studi fuori regione)","Vorresti, se potessi, tornare a vivere stabilmente a Tricarico",In che ambito lavori (o studi)?,Quali sono principalmente le ragioni per cui hai dovuto lasciare Tricarico? (scegli fino a 2 opzioni),Tricarico è un posto tranquillo per metter su famiglia,Chi lavora a Tricarico vive bene ,Tricarico è il posto dove vorrei vivere per sempre,"Tricarico offre tantissime opportunità (lavorative, sociali, di crescita)",Tricarico è un punto nevralgico della Basilicata,A Tricarico sento di poter esprimere tutto il mio potenziale,"Tricarico è (aggettivo positivo) : 
[puoi scegliere al massimo 3 opzioni]","Tricarico è (aggettivo negativo): 
[puoi scegliere al massimo 3 opzioni]","Se fossi il Sindaco della Città e avessi un'ingente somma a disposizione, su cosa investiresti subito? (scegli fino a 2 opzioni)",Quali sono secondo te i punti di forza del paese? (scegli fino a 2 opzioni),Pensi sia più importante:,Pensi sia più importante:,Pensi sia più importante:,Com'è la Tricarico che vorresti?,Come immagini Tricarico tra 10 anni?,Consigli per i candidati sindaci?
2023/05/06 6:39:10 PM CET,Uomo,26-35,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci sto pensando",,,,,,,4,4,3,1,2,2,Tranquilla,Sporca;Noiosa;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Intrattenimento",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Una Tricarico che investe per promuovere lo sport (magari offrendo abbonamenti a ragazzi/e in età dell’obbligo) e più in generale l’attività fisica (investendo nei circoli per anziani per promuovere attività ricreative, es ginnastica dolce), che punta davvero sul suo carnevale e sul percorso enogastronomico (non scegliendo e spostando le date all’ultimo, anzi organizzando con anticipo e promuovendo l’evento sopratutto nelle aree urbane di Matera e della Puglia), e che più in generale punta al creare occasioni di socialità in particolare nei periodi “morti”, che rappresentano poi buona parte del tempo che trascorrono i residenti del paese.","Spenta, con pochi abitanti e per lo più anziani, priva di particolari attività culturali se non nel periodo a ridosso di ferragosto ",Vedere sopra.
2023/05/06 7:00:13 PM CET,Uomo,26-35,"No, da anni vivo altrove",,,,,,,Vorrei ma non potrei farlo,Privato,Lavoro;Altro,4,3,4,1,5,2,Pulita;Tranquilla,Spenta;Divisa,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Viva. ,In crescita ,"Coinvolgere attivamente la comunità, essendo tutti noi dei gran chiacchieroni, l’unico modo per placare le critiche sterili e capire fatiche e oneri di risollevare una comunità , è quello esser parte integrante del processo! "
2023/05/06 7:04:05 PM CET,Uomo,26-35,"Si, ogni giorno",No,"Si, lavoro a Tricarico","No, mai",,,,,,,3,3,3,1,4,2,Tranquilla,Noiosa;Spenta;Divisa,"Sviluppo di attività produttive;Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Prospera,Con 10mila abitanti ,Lavorare per il bene comune
2023/05/06 8:48:46 PM CET,Donna,56-65,"Si, ogni giorno",Si,"Si, lavoro a Tricarico","No, mai",,,,,,,3,2,2,1,4,1,Morto,Noiosa;Spenta;Divisa,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Attiva,Inesistente ,Non
2023/05/06 8:51:19 PM CET,Uomo,26-35,"No, da anni vivo altrove",,,,,,,Potrei ma non voglio farlo,Pubblico (se studi qualcosa per cui hai possibili sbocchi per questo ambito),Lavoro,5,5,1,1,4,1,Pulita;Tranquilla;Ordinata,Noiosa;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Viva come 10 anni fa,Deserta,Valorizzare il nostro bel paese che di cose da offrire ne abbiamo eccome!!!
2023/05/06 8:54:34 PM CET,Uomo,26-35,"No, da anni vivo altrove",,,,,,,Vorrei ma non potrei farlo,Pubblico (se studi qualcosa per cui hai possibili sbocchi per questo ambito),Lavoro,5,5,5,1,5,1,Pulita;Tranquilla;Ordinata,Noiosa;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Viva e piena d’ opportunità ,Vuota ,Valorizzate il nostro bel paese e prendete iniziative per organizzare eventi che trascinano la gente a conoscere TRICARICO 
2023/05/06 10:25:00 PM CET,Donna,36-45,"Si, ogni giorno",Si,"Si, lavoro a Tricarico","Si, ci sto pensando",,,,,,,3,3,2,2,3,2,Tranquilla,Sporca;Noiosa;Spenta,Turismo/Cultura;Intrattenimento,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Diversa,Desolata,Ascoltare la gente 
2023/05/07 9:04:17 AM CET,Donna,26-35,"No, da anni vivo altrove",,,,,,,Vorrei ma non potrei farlo,Privato,Lavoro;Affinità culturale,4,4,3,1,3,2,Tranquilla,Spenta,"Sviluppo di attività produttive;Servizi pubblici (Ville, giardini, ecc...)","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Più interattiva,Spero tanto sia una città viva e non morente,"Date opportunità ai giovani, hanno bisogno di stimoli (culturali, lavorativi, intrattenimento) sennò prima o poi andranno via anche loro."
2023/05/07 9:19:14 AM CET,Donna,56-65,"Si, ogni giorno",Si,Lavoro a Tricarico,"Si, ci sto pensando",,,,,,,4,4,2,2,1,3,Pulita;Tranquilla,Noiosa;Spenta,"Servizi pubblici (Ville, giardini, ecc...);Intrattenimento","Comunità (relazioni sociali, stile di vita, ...)",Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Vivace, senza le luminarie in viale Regina Margherita, senza la ricorrente ""fissazione"" sul.poeta contadino (che non ha mai utilizzato una zappa neppure per piantare una lattuga)",Come è ora,Amministrare non è una puntata del Grande Fratello 
2023/05/07 10:04:15 AM CET,Uomo,36-45,"No, da anni vivo altrove",,,,,,,Vorrei ma non potrei farlo,Privato,Lavoro,3,3,3,2,2,1,Pulita;Tranquilla,Disordinata;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Più cultura, meno finto attaccamento alla tradizione (come le maschere ad agosto, per intenderci). Esistono altri libri oltre a quelli di Scotellaro. Parliamone!",Celebrando i 110 anni di Scotellaro e sfilando in maschera nelle date più improbabili ,Cominciare a guardare fuori dal paese per trarre ispirazione da altre amministrazioni 
2023/05/07 10:55:38 AM CET,Uomo,36-45,"No, da anni vivo altrove",,,,,,,Vorrei ma non potrei farlo,Privato,Lavoro,5,5,5,2,5,2,Tranquilla;Divertente,Spenta;Divisa,Agricoltura;Sviluppo di attività produttive,Cultura e Tradizioni,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Piena di gente, di bambini a giocare nella villetta  ragazzi a riempire il viale tutti i negozi e pizzerie piene di gente che lavora e consuma i soldi.",Lo vorrei sempre splendente e pieno di gente,"Organizzare sagre inetenti alle attivita' di eccellenza che abbiamo a Tricarico ( vedi la sagra del maiale ,della salsiccia, del provolone) per far coniscere i nostri prodotti( vedi i panettoni del forno Calciano) fuori dal paese, riorganizzare la villetta per poter portare i bambini a potersi divertire liberamente e vietare di far giocare i ragazzi con il pallone che rischiano di far male i piu' piccoli, ed infine sfruttare il bosco di Tre Cancelli con eventi all'aperto oppure visto che va' tanto costruire case sugli alberi per attrarre turisti."
2023/05/07 1:20:09 PM CET,Uomo,26-35,"Si, ogni giorno",No,"Pensionato, disoccupato o altro a Tricarico","Si, ci sto pensando",,,,,,,5,5,5,1,4,1,Tranquilla,Noiosa;Spenta;Divisa,Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Agevolare gli spostamenti verso lavoro e attrattive nei paesi limitrofi,Innovare e spingere per la creazione di nuove attività e progetti,Piena di gente e di opportunità ,Ancora più in declino ,Che collaborino per Salvare Tricarico 
2023/05/07 1:30:24 PM CET,Donna,19-25,"Si, ogni giorno",No,Studio altrove,"Si, ci sto pensando",,,,,,,5,3,3,2,3,3,Tranquilla,Sporca;Disordinata;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Unita,Pulita coesa ,Di fare qualcosa per far rinascere Tricarico 
2023/05/07 1:38:08 PM CET,Donna,36-45,"Si, ogni giorno",No,Studio a Tricarico,"No, mai",,,,,,,5,5,5,1,5,3,Tranquilla;Divertente,Sporca;Spenta;Divisa,Agricoltura,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Viva!,Dipende dall impegno delle future amministrazioni!,"Umiltà, trasparenza e coerenza!"
2023/05/07 1:52:18 PM CET,Donna,26-35,"No, ma torno spesso",,,,Studio in Basilicata,No,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,4,5,1,1,3,1,Pettegola,Pericolosa,"Infrastrutture (trasporti, strade e collegamenti)",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Con persone meno giudicanti e rispettose delle scelte altrui,Temo presuntuoso piú di ora,Pensare agli affari pubblici e non a quelli privati
2023/05/07 1:54:07 PM CET,Donna,36-45,"No, da anni vivo altrove",,,,,,,Potrei ma non voglio farlo,Privato,Lavoro,3,3,1,1,1,1,Tranquilla,Noiosa;Spenta;Divisa,Agricoltura;Sviluppo di attività produttive,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Immagino una cittadina inclusiva, generosa, pulita, avanguardista, acculturata, umile, piena di vita e di gente che aiuta l'altro davvero.",Morta.,"Che investano in programmi formativi per i giovani che si fermano alla scuola dell'obbligo e decidono/devono restare lì 
Accogliere progetti innovativi per l'agricoltura, creare attrattive che non siano sempre e solo legate al carnevale)
Valorizzare il patrimonio artistico-culturale e formare persone nuove. Non sempre i soliti noti, parenti o amici dei piccoli politici locali. 
"
2023/05/07 1:56:48 PM CET,Uomo,46-55,"Si, ogni giorno",Si,Lavoro a Tricarico,"Si, ci ho pensato ma ho cambiato idea",,,,,,,3,3,1,1,2,1,Tranquilla;OSPITALE con  chi proviene da fuori,Sporca;Divisa;INVIDIOSA,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"ATTRATTIVA TURISITICA, MENO INVIDIOSA, COLLABORATIVA, ASSOCIATIVA E COORDINATA TRA TUTTI I SOGGETTI, NELLA STESSA DIREZIONE..ALTRIMENTI IL CARRO NON PARTE","ATTRATTIVA.  PRODUTTIVA, COESA , TURISTICA",STUDIARE  E PARTECIPARE A TUTTI I BANDI EUROPEI e ITALIANI per ATTRARRE RISORSE FINANZIARIE
2023/05/07 1:56:56 PM CET,Donna,16-18,"Si, ogni giorno",No,Studio a Tricarico,"Si, ci sto pensando",,,,,,,3,3,1,1,3,1,Pulita;Tranquilla;Ordinata,Noiosa;Spenta;Divisa,Intrattenimento,Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,più dinamica ,"Non lo so sinceramente , spero che la situazione migliori ",.
2023/05/07 2:09:30 PM CET,Donna,36-45,"Si, ogni giorno",Si,Lavoro a Tricarico,"No, mai",,,,,,,3,4,5,2,4,3,Divertente,Spenta,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Cultura e Tradizioni,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Vivibile,Viva,Coraggio
2023/05/07 2:50:11 PM CET,Donna,26-35,"No, ma torno spesso",,,,Lavoro in Basilicata,No,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,5,3,3,1,2,2,Tranquilla,Spenta,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,.,.,Collaborare 
2023/05/07 3:27:24 PM CET,Uomo,36-45,"No, ma torno spesso",,,,Lavoro in Basilicata,Si,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,5,5,3,5,5,3,Tranquilla,Sporca;Noiosa;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Agricoltura",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,vorrei ke ci fosse più lavoro e più organizzazione nel fare eventi ke attirino gente per fare girare economia locale,se continuiamo così saremo come Calciano Garaguso Oliveto ,"creare posti di lavoro ma nn solo con le raccomandazioni o conoscenze,ma per capacità e voglia di lavorare "
2023/05/07 3:31:35 PM CET,Uomo,56-65,"Si, ogni giorno",No,"Pensionato, disoccupato o altro a Tricarico","Si, ci sto pensando",,,,,,,2,3,5,1,2,1,Coesa,Sporca;Disordinata;Spenta,Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Valorizzare il centro storico si valorizza la nostra cultura il paese e la gente trarrebbero vantaggi ,Cittadina turistica,Puntare sul turismo 
2023/05/07 3:42:33 PM CET,Donna,26-35,"Si, ogni giorno",No,Lavoro altrove,"Si, ci ho pensato ma ho cambiato idea",,,,,,,5,4,4,3,4,4,Tranquilla,Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Una tricarico in cui si esce tanto a piedi..si socializza di più...in cui ci siano più eventi ricreativi ...una tricarico con strade asfaltate decentemente ,Immagino tricarico come un luogo più ricco di servìzi e di attività da svolgere ,Essere presenti costantemente sul territorio e sempre a disposizione del cittadino senza distinzioni di appartenenza politica 
2023/05/07 3:42:40 PM CET,Donna,26-35,"No, ma torno spesso",,,,Lavoro fuori Regione,Si,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,5,5,3,1,3,3,Tranquilla;Sicura ed economica ,Noiosa;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive","Comunità (relazioni sociali, stile di vita, ...);Bellezze naturali",Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Produttiva e popolosa,"Desolata, ma spero vivamente in un cambio di rotta",Restare coesi per 5 anni
2023/05/07 3:59:30 PM CET,Uomo,36-45,"Si, ogni giorno",No,Lavoro a Tricarico,"Si, ci ho pensato ma ho cambiato idea",,,,,,,4,3,2,1,1,1,Tranquilla,Disordinata;Noiosa;Spenta,Agricoltura;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Come negli anni 90..viva,Triste,"Rispettare il vincitore, opposizione costruttiva "
2023/05/07 4:42:33 PM CET,Donna,46-55,"Si, ogni giorno",Si,Lavoro a Tricarico,"No, mai",,,,,,,5,4,5,1,5,1,Tranquilla,Sporca;Disordinata;Divisa,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Vorrei una Tricarico attiva,unita e funzionante.",La immagino bella in tutto il suo splendore con le ricchezze che possiede valorizzate nel giusto modo.,Ai candidati sindaci vorrei dire solo una cosa..Fatevi un bel esame di coscienza(come diceva don Girolamo)per capire se davvero avete intenzione di mettere al primo posto il bene di Tricarico e del suo popolo o no.
2023/05/07 4:43:41 PM CET,Uomo,26-35,"No, da anni vivo altrove",,,,,,,Vorrei ma non potrei farlo,Privato,Lavoro,4,4,2,2,4,2,Pulita;Tranquilla;Calma,Noiosa;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti)",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Agevolare gli spostamenti verso lavoro e attrattive nei paesi limitrofi,Innovare e spingere per la creazione di nuove attività e progetti,Evoluta,Spenta,Vota Paradiso 
2023/05/07 4:55:20 PM CET,Donna,26-35,"No, da anni vivo altrove",,,,,,,Vorrei ma non potrei farlo,Pubblico (se studi qualcosa per cui hai possibili sbocchi per questo ambito),Lavoro,5,3,4,2,3,2,Tranquilla,Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Vorrei un paese più coeso, non pensare sempre al proprio orticello, ma AIUTARE anche il vicino senza ritorni personali. Ragionare in un ottica di COOPERAZIONE  per il bene del comune senza dover necessariamente ricavare denaro a scopo personale. 
Incremento delle attività o centri per ragazzi e anziani( es. Circoli ricreativi creati dagli stessi anziani in cui pensare ad attività di gioco, lettura, di ricamo,corsi di informazione...) 
Creare un programma annuale delle attività da svolgere attraverso la creazione di opuscoli con informazioni utili riguardanti i posti da visitare con relativa mappa,  orari di apertura dei maggiori centri da visitare , attività da svolgere, dove mangiare, dove dormire, bar, negozi per poi da diffondere sia sul territorio che online; anche distribuendolo nelle zone turistiche di Matera.
Migliorare la pulizia delle strade e riorganizzare la segnaletica con maggior importanza a segnalare le zone turistiche.
Riapertura nei vari periodi dell' anno o domeniche dei centri da visitare con il costo del biglietto.
 La valorizzazione del centro storico è un po' un utopia, io da turista non mi addentrerei mai in una strada buia e con porte quasi tutte chiuse per non vedere niente, potrebbe migliorare solo con aperture di attività lungo la via,  o di case con materiale tipico usato negli anni , mostra di vestiti, presepi da mantenere tutto l anno, casa del Carnevale con vestiti tipici, cantine.
Presa in carico del bosco da migliorare per creare eventi sportivi o ludici, es.organizzare almeno una volta l anno una camminata di pochi km per incrementare maggiormente la socializzazione ed educazione alla salute.
Vorrei anche una città con più posti di lavoro e valorizzazione della nostra agricoltura e buon cibo.
In estate ,che risulta il periodo in cui il paese si ripopola, chiusura della strada per un passeggio più tranquillo e meno macchine.
Mantenere le poche attività rimaste del presidio ospedaliero di Tricarico, delle scuole di secondo grado, come punto di riferimento anche per i paesi limitrofi.
Miglioramento dei collegamenti con mezzi di trasporto pubblici.
",Immagino un paese sempre più vuoto anche grazie all isolamento che parte in primis dalla regione e colpire man mano i piccoli centri.,"Tutto ciò che ho scritto in alto, e consiglio di non farsi influenzare dalle vecchie menti e di guardare sempre oltre e non accontentarsi."
2023/05/07 9:31:10 PM CET,Donna,46-55,"Si, ogni giorno",Si,Lavoro altrove,"No, mai",,,,,,,5,3,4,2,4,2,Pulita;Tranquilla;Ospitale,Spenta;Divisa;Apatica ,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Unita, collaborativa, fattiva e non criticona e distruttiva delle idee altrui","Spero che sia più popolata di coppie giovani con bambini, digitalizzata e green","Non criticarsi a vicenda, siete due belle persone "
2023/05/07 10:02:55 PM CET,Donna,26-35,"Si, ogni giorno",No,Lavoro a Tricarico,"Si, ci ho pensato ma ho cambiato idea",,,,,,,5,5,4,3,5,2,Tranquilla,Disordinata;Spenta;Divisa,"Sviluppo di attività produttive;Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Unita,Fervida e in crescita ,Praticità e collaborazione per un presente e futuro pruttivo
2023/05/07 10:52:12 PM CET,Uomo,26-35,"No, ma torno spesso",,,,Lavoro fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,1,2,1,1,1,1,Tranquilla,Pericolosa;Noiosa;Poco sicura dal punto di vista della sanità ,Sport,Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Agevolare gli spostamenti verso lavoro e attrattive nei paesi limitrofi,Valorizzare il patrimonio culturale e le tradizioni,"Onestamente: mandate via Don Giuseppe che assieme alla vecchia amministrazione lo sta distruggendo tra raccomandazioni e immigrati (sono pro accoglienza ma Tricarico non ha le infrastrutture, la mentalità, il tessuto sociale e lavorativo per accogliere stranieri e/o immigrati)...inoltre ha totalmente rovinato sant Antonio...","Esattamente come lo è ora e come lo era 10 anni fa, un posto depresso ","Migliorare almeno la sanità che c'è, oppure in alternativa chiudere le strutture...l'ignoranza in ambito sanitario fa danni ed è meglio un servizio che non c'è piuttosto di uno che c'è ma fa schifo "
2023/05/08 5:00:23 AM CET,Uomo,56-65,"No, ma torno spesso",,,,Lavoro fuori Regione,No,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,4,2,2,5,5,3,Un posto che vive di ricordi e bloccato da pochi sapienti che egemonizzano tutto. ,Noiosa;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Agevolare gli spostamenti verso lavoro e attrattive nei paesi limitrofi,Valorizzare il patrimonio culturale e le tradizioni,"Un posto in cui sia molto agevole spostarsi verso matera, potenza o i paesi dellintrno a nord e sud. ",Purtroppo male. Il livello si abbassa sempre più... ,"Partite da cose semplicisdime come spostare il mercato cambiando e usando il campo sportivo, aggiungete collegamenti con le città, mettete a posto i vigili urbani, cardine di una vita sociale corretta. "
2023/05/08 11:27:20 AM CET,Uomo,36-45,"Si, ogni giorno",Si,Lavoro a Tricarico,"No, mai",,,,,,,4,2,5,2,3,4,Tranquilla,Noiosa;Spenta;Divisa,"Turismo/Cultura;Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Viva, piena di iniziative per la cittadinanza e il turista",Viva e solare,"Puntare sul sociale, sull'aggregazione giovanile, sul migliorare e rendere fruibile le strutture esistenti per poterle mettere a disposizione della associazioni presenti sul territorio. Curare l'estetica del nostro paese"
2023/05/08 2:26:08 PM CET,Uomo,19-25,"No, ma torno spesso",,,,Studio fuori Regione,Si,"Si, studio fuori regione ma potrei studiare la stessa cosa in Basilicata",,,,5,5,5,1,4,5,Tranquilla,Sporca;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,UNITA E RICCA DI ATTRAZIONI,"Aumento demografico e mentalità diversa
",SINCERITA' E MASSIMO IMPEGNO
2023/05/08 2:46:12 PM CET,Donna,26-35,"No, ma torno spesso",,,,Studio fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,3,3,2,1,3,2,Tranquilla,Noiosa;Spenta;Divisa,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Napulecchij ,Morta,"Fate l'amore,non fate la guerra"
2023/05/08 5:55:09 PM CET,Uomo,19-25,"Si, ogni giorno",No,Lavoro altrove,"Si, ci sto pensando",,,,,,,5,5,3,1,4,3,Tranquilla,Sporca;Noiosa;Divisa,Turismo/Cultura;Intrattenimento,Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Viva, piena di vita, divertente e piacevole. ",MORTO ,"Creare intrattenimento per i giovani, o almeno poter dare la possibilità di divertirsi in qualche modo. Magari aggiustando una volta per tutte il palazzetto."
2023/05/08 6:18:06 PM CET,Donna,26-35,"No, ma torno spesso",,,,Studio in Basilicata,Si,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,2,2,3,2,2,2,Pulita;Tranquilla,Noiosa;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Più viva,Un importante comune turistico ,Dare nuova luce alla comunità 
2023/05/08 6:18:32 PM CET,Uomo,26-35,"No, da anni vivo altrove",,,,,,,Potrei ma non voglio farlo,Pubblico (se studi qualcosa per cui hai possibili sbocchi per questo ambito),Lavoro,3,4,2,1,2,2,Tranquilla;Sicura,Noiosa;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Con possibilità di lavoro, coesa (da troppi anni ormai divisa politicamente e nel tessuto sociale), attrattiva e capace di organizzare manifestazioni culturali, sportive ed enogastronomiche (npn solo a.luglio ed agosto)","A malincuore la immagino senza futuro, ancora più spopolata e priva di giovani, con sempre meno lavoro e sempre più carenti di servizi di prima necessità (sanitari, istruzione e servizi alla persona in genere)","Rendere attrattiva Tricarico per le aziende e le attività in genere, incentivare le assunzioni mediante bandi o reperimento di fondi europei, promuovere turismo e cultura (non solo la Maschera di Tricarico e il Carnevale, seppur importantissimi, e la.figura di Rocco Scotellaro), lavorare sulla coesione sociale (da troppi anni siamo divisi non solo in concomitanza delle elezioni amministrative)"
